date,om_precipitation_sum,om_temperature_2m_max,om_temperature_2m_min,om_relative_humidity_2m_max,om_windspeed_10m_max,power_allsky_sfc_sw_dwn,power_gwetroot,power_rh2m,power_t2m,power_t2m_max,power_t2m_min,power_prectotcorr,ndvi_s2,firms_count,firms_frp_mean,park,ecosystem,fire_within_30d,drought_within_30d,vegetation_within_30d
2020-01-21,0.0,35.0,19.4,57,11.2,16.86,0.64,59.46,24.86,32.26,19.01,0.0,0.2699570716948938,2,62.0,old_oyo,savanna,1.0,0.0,1.0
2020-01-21,0.0,33.2,21.0,53,14.7,17.5,0.57,57.69,24.24,30.88,17.8,0.0,0.1995978301574895,25,132.92272727272726,kainji_lake,savanna,1.0,0.0,1.0
2020-01-21,0.0,35.9,18.9,31,15.8,22.51,0.44,34.81,23.41,33.43,15.06,0.0,,9,386.9639074146724,yankari,savanna,1.0,0.0,0.0
2020-01-21,0.0,30.5,18.7,45,14.4,22.97,0.53,50.39,23.49,32.09,16.48,0.0,,66,371.4337113340853,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-21,0.0,31.7,17.4,25,19.3,21.59,0.23,19.76,23.47,33.79,14.98,0.0,,3,202.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-22,0.0,30.3,17.9,38,13.1,23.17,0.53,47.92,21.77,31.03,14.31,0.0,0.3758252883295736,242,425.4367162438028,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-22,0.0,34.8,19.2,23,20.9,23.23,0.44,28.86,22.59,32.56,14.89,0.0,0.1992441550883628,17,542.6470588235294,yankari,savanna,1.0,0.0,0.0
2020-01-22,0.0,33.9,20.5,54,12.4,20.8,0.57,55.49,23.55,32.18,15.94,0.0,,6,457.0,kainji_lake,savanna,1.0,0.0,1.0
2020-01-22,0.0,34.7,21.4,94,7.1,19.8,0.7,58.87,27.25,33.64,22.0,0.0,,0,,cross_river,rainforest,1.0,0.0,1.0
2020-01-22,0.0,30.5,17.0,20,21.4,22.26,0.23,16.61,22.07,31.93,14.12,0.0,0.2616383516775832,1,627.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-22,0.0,35.2,22.0,40,16.0,19.12,0.64,57.76,24.43,32.84,18.04,0.0,,0,,old_oyo,savanna,1.0,0.0,1.0
2020-01-23,0.0,34.0,17.7,21,20.6,21.6,0.44,25.51,21.41,31.53,13.24,0.0,,4,155.5,yankari,savanna,1.0,0.0,0.0
2020-01-23,0.0,34.7,20.5,99,8.8,20.17,0.7,68.69,25.23,32.45,18.89,0.0,,11,135.0,cross_river,rainforest,1.0,0.0,1.0
2020-01-23,0.0,29.2,17.2,38,14.9,21.16,0.52,45.6,20.8,30.13,13.5,0.0,,49,196.9646790434236,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-23,0.0,34.9,19.7,41,20.7,20.39,0.57,55.61,21.91,30.76,14.39,0.0,,21,145.61503208065997,kainji_lake,savanna,1.0,0.0,1.0
2020-01-23,0.0,29.9,16.0,20,23.2,22.57,0.23,18.39,21.07,31.05,12.69,0.0,,23,554.3913043478261,chad_basin,sahel,1.0,0.0,0.0
2020-01-23,0.0,35.0,20.9,50,16.4,19.38,0.63,58.26,23.01,31.22,16.75,0.0,,6,382.1666666666667,old_oyo,savanna,1.0,0.0,1.0
2020-01-24,0.0,35.5,17.8,66,8.6,22.42,0.7,55.22,24.18,33.93,16.65,0.0,,0,,cross_river,rainforest,1.0,0.0,1.0
2020-01-24,0.0,29.0,15.1,18,21.9,23.47,0.23,16.01,20.26,30.6,11.76,0.0,0.3091259826794476,0,,chad_basin,sahel,1.0,0.0,0.0
2020-01-24,0.0,33.8,20.0,26,18.0,23.0,0.63,50.57,21.32,30.81,14.2,0.0,,11,216.5171012529631,old_oyo,savanna,1.0,0.0,1.0
2020-01-24,0.0,33.3,18.9,33,21.2,22.86,0.56,48.77,20.92,30.57,13.01,0.0,,10,521.0,kainji_lake,savanna,1.0,0.0,1.0
2020-01-24,0.0,28.1,16.3,34,16.1,24.49,0.52,45.47,19.57,28.79,11.86,0.0,0.4002580330406345,95,852.3894736842105,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-24,0.0,32.2,16.6,15,20.5,23.48,0.44,25.17,20.45,31.09,11.93,0.0,,14,1139.7857142857142,yankari,savanna,1.0,0.0,0.0
2020-01-25,0.0,34.2,20.6,22,18.4,23.93,0.56,47.86,20.21,29.83,12.05,0.0,,25,270.1796086823602,kainji_lake,savanna,1.0,0.0,1.0
2020-01-25,0.0,33.2,18.8,24,15.0,23.54,0.62,49.0,20.44,30.3,12.78,0.0,,72,317.34722222222223,old_oyo,savanna,1.0,0.0,1.0
2020-01-25,0.0,35.3,18.5,48,11.0,21.94,0.7,54.11,23.73,32.84,17.38,0.0,0.5776105127414664,37,185.7393049540509,cross_river,rainforest,1.0,0.0,1.0
2020-01-25,0.0,27.3,16.1,32,16.9,23.88,0.52,43.84,19.29,28.75,11.79,0.0,,301,178.21029478753172,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-25,0.0,32.8,15.9,15,20.4,23.22,0.43,23.2,19.94,30.7,11.43,0.0,0.2350288784117552,16,256.75,yankari,savanna,1.0,0.0,0.0
2020-01-25,0.0,28.0,14.2,19,22.3,23.58,0.23,16.55,19.78,30.09,11.31,0.0,,3,148.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-26,0.0,34.2,17.8,64,8.7,21.79,0.69,56.9,24.74,33.22,16.69,0.0,,1,89.0,cross_river,rainforest,1.0,0.0,1.0
2020-01-26,0.0,28.5,16.1,34,15.9,24.34,0.52,41.78,20.48,30.29,11.98,0.0,,3,86.0,gashaka_gumti,mixed,1.0,0.0,0.0
