date,rain_7d,rain_30d,rain_60d,rain_deficit_30d,temp_max_7d,temp_max_30d,hot_days_30d,ndvi,ndvi_30d_lag,ndvi_change_30d,ndvi_90d_avg,ndvi_deviation,fire_30d,fire_90d,days_since_fire,doy_sin,doy_cos,dry_season,park_id,ecosystem_id,fire_within_30d,drought_within_30d,vegetation_within_30d,park,ecosystem,ndvi_missing,split
2022-08-03,40.400000000000006,211.1,342.0,-78.01290322580647,28.514285714285712,30.07,0.0,,,,0.27750265691238907,,0.0,0.0,125.0,-0.5285813283559292,-0.8488826652214553,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
2022-08-03,60.80000000000001,123.3,138.7,-78.13548387096775,29.32857142857143,32.54,8.0,,0.1860262319319367,,0.24838142603472796,,39.0,392.0,20.0,-0.5285813283559292,-0.8488826652214553,0,4,3,0.0,0.0,1.0,chad_basin,sahel,1,train
2022-08-03,87.3,278.90000000000003,595.9000000000001,15.819354838709728,29.042857142857144,29.263333333333335,0.0,,0.2822084870153806,,0.30735987096939943,,0.0,0.0,114.0,-0.5285813283559292,-0.8488826652214553,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-03,60.70000000000002,187.29999999999998,392.0,13.429032258064495,24.814285714285717,25.61,0.0,,,,0.40010576387644897,,0.0,0.0,119.0,-0.5285813283559292,-0.8488826652214553,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,1,train
2022-08-03,66.80000000000001,158.4,223.4,-59.083870967741944,28.17142857142857,29.826666666666664,0.0,,0.2027835946922334,,0.1695158622282707,,0.0,2.0,57.0,-0.5285813283559292,-0.8488826652214553,0,0,0,0.0,0.0,0.0,yankari,savanna,1,train
2022-08-04,46.3,158.8,223.6,-58.68387096774194,28.328571428571426,29.79,0.0,0.2239489166753537,0.2131387509602589,0.0108101657150948,0.1703220269481819,0.05362688972717178,0.0,2.0,58.0,-0.5431052396834317,-0.8396646346181327,0,0,0,0.0,0.0,0.0,yankari,savanna,0,train
2022-08-04,65.39999999999999,277.99999999999994,595.4,14.919354838709637,29.871428571428574,29.303333333333335,0.0,,0.2822084870153806,,0.30735987096939943,,0.0,0.0,115.0,-0.5431052396834317,-0.8396646346181327,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-04,20.499999999999993,70.8,287.4,-74.6516129032258,28.257142857142856,29.12333333333333,0.0,0.4957102768504628,,,0.3635766912401404,0.1321335856103224,0.0,0.0,103.0,-0.5431052396834317,-0.8396646346181327,0,5,0,0.0,0.0,0.0,old_oyo,savanna,0,train
2022-08-04,69.3,242.4,372.59999999999997,-46.71290322580646,28.585714285714285,30.013333333333332,0.0,,,,0.2774723588491245,,0.0,0.0,126.0,-0.5431052396834317,-0.8396646346181327,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
2022-08-04,38.60000000000001,185.60000000000002,388.90000000000003,11.729032258064535,25.585714285714285,25.686666666666667,0.0,0.5128226061955861,0.099400086552622,0.41342251964296406,0.40089329289871145,0.11192931329687461,0.0,0.0,120.0,-0.5431052396834317,-0.8396646346181327,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,0,train
